# 1TCM with k1:1.00; k2:0.25
# Times[minutes] Activity[kBq/ml]
0.000000e+00 5.420027e-01
3.011960e-01 -8.372695e+00
6.023920e-01 2.979536e+00
9.035880e-01 1.406421e+01
1.204784e+00 2.809677e+01
1.505980e+00 6.420113e+01
1.807176e+00 6.707948e+01
2.108372e+00 7.028890e+01
2.409568e+00 6.923992e+01
2.710764e+00 6.714897e+01
3.011960e+00 6.118550e+01
3.313156e+00 8.371251e+01
3.614352e+00 7.565609e+01
3.915548e+00 7.695836e+01
4.216744e+00 8.923764e+01
4.517940e+00 9.182834e+01
4.819136e+00 7.636686e+01
5.120332e+00 9.136969e+01
5.421528e+00 8.773983e+01
5.722724e+00 8.668855e+01
6.023920e+00 9.047018e+01
6.325116e+00 7.659796e+01
6.626312e+00 8.613971e+01
6.927508e+00 8.743327e+01
7.228704e+00 7.602658e+01
7.529900e+00 8.797995e+01
7.831096e+00 7.201082e+01
8.132292e+00 8.718623e+01
8.433488e+00 9.231341e+01
8.734684e+00 9.234226e+01
9.035880e+00 7.355397e+01
9.337076e+00 7.890611e+01
9.638272e+00 9.151309e+01
9.939468e+00 6.916165e+01
1.024066e+01 7.563195e+01
1.054186e+01 8.345288e+01
1.084306e+01 8.804858e+01
1.114425e+01 7.691285e+01
1.144545e+01 7.975946e+01
1.174664e+01 6.445758e+01
1.204784e+01 6.550068e+01
1.234904e+01 7.702707e+01
1.265023e+01 7.693708e+01
1.295143e+01 7.428588e+01
1.325262e+01 7.968127e+01
1.355382e+01 6.201552e+01
1.385502e+01 7.723350e+01
1.415621e+01 6.302804e+01
1.445741e+01 6.361655e+01
1.475860e+01 6.483420e+01
1.505980e+01 5.458620e+01
1.536100e+01 7.195953e+01
1.566219e+01 6.002857e+01
1.596339e+01 6.861965e+01
1.626458e+01 6.087333e+01
1.656578e+01 7.053368e+01
1.686698e+01 6.305743e+01
1.716817e+01 5.126262e+01
1.746937e+01 5.612310e+01
1.777056e+01 6.918183e+01
1.807176e+01 4.194285e+01
1.837296e+01 6.774906e+01
1.867415e+01 5.359593e+01
1.897535e+01 5.238113e+01
1.927654e+01 3.976781e+01
1.957774e+01 4.939910e+01
1.987894e+01 4.568992e+01
2.018013e+01 5.598293e+01
2.048133e+01 5.025918e+01
2.078252e+01 5.376683e+01
2.108372e+01 5.948810e+01
2.138492e+01 5.005919e+01
2.168611e+01 4.640035e+01
2.198731e+01 4.716025e+01
2.228850e+01 3.664130e+01
2.258970e+01 5.079714e+01
2.289090e+01 4.941775e+01
2.319209e+01 5.099117e+01
2.349329e+01 5.242346e+01
2.379448e+01 5.142817e+01
2.409568e+01 4.997491e+01
2.439688e+01 5.439724e+01
2.469807e+01 3.685705e+01
2.499927e+01 5.000764e+01
2.530046e+01 4.458435e+01
2.560166e+01 4.679057e+01
2.590286e+01 4.770990e+01
2.620405e+01 4.158509e+01
2.650525e+01 5.636908e+01
2.680644e+01 4.226382e+01
2.710764e+01 4.961655e+01
2.740884e+01 4.172180e+01
2.771003e+01 3.885427e+01
2.801123e+01 4.575948e+01
2.831242e+01 4.217914e+01
2.861362e+01 4.760344e+01
2.891482e+01 4.390203e+01
2.921601e+01 3.754672e+01
2.951721e+01 4.010985e+01
2.981840e+01 4.313904e+01
3.011960e+01 4.158399e+01
3.042080e+01 4.337512e+01
3.072199e+01 4.485395e+01
3.102319e+01 4.315356e+01
3.132438e+01 3.598302e+01
3.162558e+01 3.396003e+01
3.192678e+01 4.617753e+01
3.222797e+01 3.745095e+01
3.252917e+01 4.154561e+01
3.283036e+01 4.381942e+01
3.313156e+01 2.393230e+01
3.343276e+01 3.334264e+01
3.373395e+01 4.419024e+01
3.403515e+01 4.967402e+01
3.433634e+01 4.885255e+01
3.463754e+01 5.084248e+01
3.493874e+01 3.881147e+01
3.523993e+01 4.031605e+01
3.554113e+01 6.633164e+01
3.584232e+01 3.824670e+01
3.614352e+01 3.891589e+01
3.644472e+01 5.108538e+01
3.674591e+01 3.489840e+01
3.704711e+01 3.905793e+01
3.734830e+01 3.362092e+01
3.764950e+01 4.477135e+01
3.795070e+01 3.707475e+01
3.825189e+01 2.311403e+01
3.855309e+01 2.739297e+01
3.885428e+01 1.067857e+01
3.915548e+01 3.507388e+01
3.945668e+01 3.343036e+01
3.975787e+01 4.202049e+01
4.005907e+01 4.506592e+01
4.036026e+01 2.718123e+01
4.066146e+01 3.881351e+01
4.096266e+01 2.164338e+01
4.126385e+01 4.339275e+01
4.156505e+01 3.452137e+01
4.186624e+01 3.788808e+01
4.216744e+01 3.980656e+01
4.246864e+01 2.324067e+01
4.276983e+01 3.818178e+01
4.307103e+01 2.879307e+01
4.337222e+01 3.087950e+01
4.367342e+01 3.463088e+01
4.397462e+01 2.756232e+01
4.427581e+01 3.807575e+01
4.457701e+01 4.013264e+01
4.487820e+01 4.516708e+01
4.517940e+01 4.523802e+01
4.548060e+01 2.655108e+01
4.578179e+01 3.104783e+01
4.608299e+01 2.148251e+01
4.638418e+01 3.139510e+01
4.668538e+01 3.764260e+01
4.698658e+01 2.805379e+01
4.728777e+01 4.073569e+01
4.758897e+01 3.080961e+01
4.789016e+01 3.625025e+01
4.819136e+01 3.384387e+01
4.849256e+01 2.134328e+01
4.879375e+01 1.976299e+01
4.909495e+01 3.900324e+01
4.939614e+01 4.145606e+01
4.969734e+01 2.727679e+01
4.999854e+01 1.388772e+01
5.029973e+01 2.420906e+01
5.060093e+01 2.841150e+01
5.090212e+01 7.987254e+00
5.120332e+01 3.975740e+01
5.150452e+01 2.831003e+01
5.180571e+01 3.091981e+01
5.210691e+01 3.096559e+01
5.240810e+01 2.123471e+01
5.270930e+01 9.254235e+00
5.301050e+01 1.261644e+01
5.331169e+01 2.725901e+01
5.361289e+01 3.565604e+01
5.391408e+01 2.504217e+01
5.421528e+01 1.854027e+01
5.451648e+01 1.267588e+01
5.481767e+01 3.918734e+01
5.511887e+01 2.992996e+01
5.542006e+01 2.443697e+01
5.572126e+01 2.224090e+01
5.602246e+01 2.091274e+01
5.632365e+01 2.251567e+01
5.662485e+01 3.014728e+01
5.692604e+01 3.216380e+01
5.722724e+01 2.211531e+01
5.752844e+01 2.346286e+01
5.782963e+01 2.649744e+01
5.813083e+01 3.087572e+01
5.843202e+01 1.489429e+01
5.873322e+01 2.626930e+01
5.903442e+01 2.243797e+01
5.933561e+01 3.952995e+01
5.963681e+01 2.404875e+01
5.993800e+01 2.952387e+01
6.023920e+01 3.639624e+01
6.054040e+01 2.352848e+01
6.084159e+01 1.398732e+01
6.114279e+01 2.922946e+01
6.144398e+01 3.275544e+01
6.174518e+01 2.950011e+01
6.204638e+01 3.357776e+01
6.234757e+01 3.880884e+01
6.264877e+01 1.695239e+01
6.294996e+01 2.386472e+01
6.325116e+01 4.355665e+00
6.355236e+01 2.396915e+01
6.385355e+01 2.950585e+01
6.415475e+01 3.002428e+01
6.445594e+01 4.963110e+00
6.475714e+01 3.715191e+01
6.505834e+01 2.595251e+01
6.535953e+01 1.164878e+01
6.566073e+01 3.568125e+01
6.596192e+01 1.705043e+01
6.626312e+01 3.517622e+01
6.656432e+01 2.154666e+01
6.686551e+01 1.510420e+01
6.716671e+01 1.882368e+01
6.746790e+01 1.764693e+01
