# Serial 2TCM with k1:0.50; k2:0.85; k3:0.25; k4:0.15
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -2.574826e+00
3.011960e-01 1.212751e+00
6.023920e-01 6.103260e-01
9.035880e-01 7.797820e+00
1.204784e+00 1.170383e+01
1.505980e+00 1.876031e+01
1.807176e+00 2.186834e+01
2.108372e+00 1.949125e+01
2.409568e+00 1.718804e+01
2.710764e+00 2.126714e+01
3.011960e+00 2.171674e+01
3.313156e+00 2.251796e+01
3.614352e+00 2.283078e+01
3.915548e+00 2.359732e+01
4.216744e+00 1.659453e+01
4.517940e+00 2.186640e+01
4.819136e+00 2.424197e+01
5.120332e+00 2.251769e+01
5.421528e+00 2.065067e+01
5.722724e+00 1.478029e+01
6.023920e+00 2.113943e+01
6.325116e+00 1.559857e+01
6.626312e+00 2.203452e+01
6.927508e+00 1.910624e+01
7.228704e+00 2.328333e+01
7.529900e+00 1.856301e+01
7.831096e+00 1.766680e+01
8.132292e+00 2.102315e+01
8.433488e+00 2.254923e+01
8.734684e+00 2.395759e+01
9.035880e+00 1.433853e+01
9.337076e+00 2.232959e+01
9.638272e+00 2.469813e+01
9.939468e+00 2.242081e+01
1.024066e+01 1.808946e+01
1.054186e+01 1.668785e+01
1.084306e+01 2.042695e+01
1.114425e+01 2.087828e+01
1.144545e+01 1.870998e+01
1.174664e+01 2.018518e+01
1.204784e+01 1.663756e+01
1.234904e+01 2.417745e+01
1.265023e+01 1.939280e+01
1.295143e+01 1.915287e+01
1.325262e+01 1.781244e+01
1.355382e+01 1.817469e+01
1.385502e+01 2.277088e+01
1.415621e+01 2.009136e+01
1.445741e+01 1.816189e+01
1.475860e+01 2.090688e+01
1.505980e+01 1.899548e+01
1.536100e+01 2.011724e+01
1.566219e+01 1.503307e+01
1.596339e+01 1.819730e+01
1.626458e+01 2.149937e+01
1.656578e+01 2.060166e+01
1.686698e+01 1.646512e+01
1.716817e+01 1.989461e+01
1.746937e+01 2.209262e+01
1.777056e+01 2.168586e+01
1.807176e+01 1.768689e+01
1.837296e+01 1.787864e+01
1.867415e+01 2.060309e+01
1.897535e+01 2.025863e+01
1.927654e+01 1.615699e+01
1.957774e+01 1.646470e+01
1.987894e+01 1.170823e+01
2.018013e+01 1.761559e+01
2.048133e+01 1.710078e+01
2.078252e+01 1.711961e+01
2.108372e+01 1.675275e+01
2.138492e+01 1.678582e+01
2.168611e+01 1.675304e+01
2.198731e+01 1.923026e+01
2.228850e+01 1.679584e+01
2.258970e+01 1.460533e+01
2.289090e+01 1.725344e+01
2.319209e+01 1.299798e+01
2.349329e+01 2.024465e+01
2.379448e+01 1.303421e+01
2.409568e+01 2.035450e+01
2.439688e+01 2.007957e+01
2.469807e+01 1.504492e+01
2.499927e+01 1.522435e+01
2.530046e+01 1.687355e+01
2.560166e+01 1.732034e+01
2.590286e+01 1.834117e+01
2.620405e+01 1.379114e+01
2.650525e+01 1.443912e+01
2.680644e+01 1.871832e+01
2.710764e+01 1.041190e+01
2.740884e+01 1.648157e+01
2.771003e+01 1.187503e+01
2.801123e+01 1.613657e+01
2.831242e+01 1.298814e+01
2.861362e+01 1.118236e+01
2.891482e+01 9.687189e+00
2.921601e+01 1.867225e+01
2.951721e+01 1.120082e+01
2.981840e+01 1.936235e+01
3.011960e+01 1.506952e+01
3.042080e+01 1.633175e+01
3.072199e+01 1.060814e+01
3.102319e+01 1.582022e+01
3.132438e+01 1.443937e+01
3.162558e+01 1.523562e+01
3.192678e+01 1.062681e+01
3.222797e+01 1.621565e+01
3.252917e+01 1.674867e+01
3.283036e+01 1.662578e+01
3.313156e+01 1.317205e+01
3.343276e+01 1.440311e+01
3.373395e+01 1.146374e+01
3.403515e+01 1.796357e+01
3.433634e+01 9.376712e+00
3.463754e+01 1.170958e+01
3.493874e+01 1.442439e+01
3.523993e+01 1.427454e+01
3.554113e+01 8.047544e+00
3.584232e+01 1.182327e+01
3.614352e+01 1.890596e+01
3.644472e+01 1.110120e+01
3.674591e+01 1.383723e+01
3.704711e+01 1.049337e+01
3.734830e+01 1.446941e+01
3.764950e+01 1.318993e+01
3.795070e+01 1.162118e+01
3.825189e+01 9.022448e+00
3.855309e+01 1.198825e+01
3.885428e+01 1.194583e+01
3.915548e+01 1.359783e+01
3.945668e+01 8.045870e+00
3.975787e+01 1.281546e+01
4.005907e+01 1.079998e+01
4.036026e+01 8.621062e+00
4.066146e+01 1.164615e+01
4.096266e+01 1.152565e+01
