# Serial 2TCM (k4=0) with k1:0.50; k2:0.50; k3:0.01
# Times[minutes] Activity[kBq/ml]
0.000000e+00 5.273659e-01
3.011960e-01 9.286301e-01
6.023920e-01 -6.112488e+00
9.035880e-01 9.148305e+00
1.204784e+00 1.213779e+01
1.505980e+00 2.569943e+01
1.807176e+00 2.654996e+01
2.108372e+00 3.224383e+01
2.409568e+00 3.085091e+01
2.710764e+00 2.837141e+01
3.011960e+00 3.071659e+01
3.313156e+00 2.973192e+01
3.614352e+00 2.710923e+01
3.915548e+00 3.057532e+01
4.216744e+00 3.001121e+01
4.517940e+00 2.737712e+01
4.819136e+00 2.815853e+01
5.120332e+00 3.140887e+01
5.421528e+00 2.980630e+01
5.722724e+00 2.433017e+01
6.023920e+00 2.491265e+01
6.325116e+00 2.652330e+01
6.626312e+00 2.552023e+01
6.927508e+00 2.636212e+01
7.228704e+00 2.623771e+01
7.529900e+00 2.392409e+01
7.831096e+00 2.546199e+01
8.132292e+00 2.214981e+01
8.433488e+00 1.749750e+01
8.734684e+00 1.984075e+01
9.035880e+00 2.268335e+01
9.337076e+00 1.841434e+01
9.638272e+00 1.946339e+01
9.939468e+00 2.028881e+01
1.024066e+01 2.249765e+01
1.054186e+01 1.960651e+01
1.084306e+01 2.063711e+01
1.114425e+01 2.793002e+01
1.144545e+01 2.291105e+01
1.174664e+01 1.977706e+01
1.204784e+01 1.818605e+01
1.234904e+01 1.504082e+01
1.265023e+01 2.183220e+01
1.295143e+01 2.008738e+01
1.325262e+01 1.589439e+01
1.355382e+01 2.211856e+01
1.385502e+01 1.712507e+01
1.415621e+01 2.255491e+01
1.445741e+01 1.774055e+01
1.475860e+01 2.063481e+01
1.505980e+01 1.821518e+01
1.536100e+01 1.416726e+01
1.566219e+01 1.724504e+01
1.596339e+01 1.560262e+01
1.626458e+01 1.926900e+01
1.656578e+01 1.686299e+01
1.686698e+01 2.032342e+01
1.716817e+01 1.998482e+01
1.746937e+01 1.663138e+01
1.777056e+01 1.522831e+01
1.807176e+01 1.808423e+01
1.837296e+01 1.904851e+01
1.867415e+01 1.626086e+01
1.897535e+01 2.124215e+01
1.927654e+01 1.522380e+01
1.957774e+01 1.658450e+01
1.987894e+01 1.598113e+01
